Title,Description,List Name,Labels,Due Date,Checklist
"ENV-11: Sanctum + Fortify: SPA auth, 2FA, reset, verification","Configurar Sanctum (SPA) + Fortify: login, registro, email verification, password reset, 2FA (TOTP), recovery codes. 2FA obrigatório para Platform/Org Admins.","🎯 Sprint 0 (Atual)","Backend;P0 - Crítico;Security","2024-09-25","Sanctum SPA configurado|Fortify features ativas|2FA TOTP funcional|Recovery codes|Obrigatório para admins"
"ENV-12: Testes Cross-Tenant: A ≠ B (403)","Testes automatizados de isolamento: Organization A ≠ Organization B (403), Workspace A ≠ Workspace B (403), cross-user dentro do mesmo WS (policy-based). 100% cenários cobertos.","🎯 Sprint 0 (Atual)","QA Engineer;Security Auditor;P0 - Crítico;Multi-Tenant;Security","2024-09-25","Cross-org read 403|Cross-org write 403|Cross-ws read 403|Cross-ws write 403|Platform admin bypass|Org admin cross-ws access"
"ENV-13: ADR-001: Multi-Tenancy Strategy","Documentar ADR-001 em docs/architecture/adr/001-multi-tenancy-strategy.md: Shared DB + Shared Schema + RLS + Global Scopes. Decisão, alternativas, consequências.","🎯 Sprint 0 (Atual)","Docs Writer;P1 - Alto","2024-09-25","ADR-001 criado|Decisão documentada|Alternativas listadas|Consequências claras"
"ENV-14: Pulse + Telescope (dev) + Sentry (staging/prod)","Configurar Laravel Pulse (dev), Telescope (dev), Sentry (staging/prod). Dashboards acessíveis, alertas configurados.","🎯 Sprint 0 (Atual)","DevOps;P1 - Alto","2024-09-25","Pulse instalado|Telescope instalado|Sentry configurado|Alertas funcionando"
"ENV-15: Cashier (Stripe) + Webhooks + Subscription Models","Instalar Cashier Stripe + Paddle. Models Subscription, Plan. Webhooks: checkout.session.completed, invoice.payment_succeeded/failed, subscription_updated/deleted, trial_will_end.","🎯 Sprint 0 (Atual)","Billing Engineer;P0 - Crítico","2024-09-25","Cashier Stripe instalado|Cashier Paddle instalado|Subscription model|Webhooks processados|Idempotency garantida"
"ENV-16: Reverb + Echo + Vue Composables","Laravel Reverb server + Laravel Echo client + Vue composables: useReverb, usePresence, useNotifications. Canais privados por user.","🎯 Sprint 0 (Atual)","Frontend;Backend;P1 - Alto","2024-09-25","Reverb server rodando|Echo conectado|useReverb composable|usePresence composable|Canais privados"
"ENV-17: MinIO Config + Flysystem S3 Adapter","Configurar MinIO (dev) → Cloudflare R2 (prod). Flysystem adapter S3-compatible. Disk 's3' no filesystem.php.","🎯 Sprint 0 (Atual)","DevOps;P1 - Alto","2024-09-25","MinIO disk configurado|Flysystem S3 adapter|Upload/download funciona|Presigned URLs"
"ENV-18: Dockerfile multi-stage + nginx.conf + healthchecks","Dockerfile multi-stage (base → builder → production). nginx.conf com proxy para Octane/FrankenPHP. Healthcheck /up endpoint.","🎯 Sprint 0 (Atual)","DevOps;P1 - Alto","2024-09-25","Dockerfile multi-stage|nginx.conf|Healthcheck /up|Imagem builda sem erros"
"ENV-19: GitHub Actions CD: staging + production","Workflows cd-staging.yml (push develop) e cd-production.yml (tags v*). Deploy Laravel Cloud/Forge/Vapor. Smoke tests pós-deploy.","🎯 Sprint 0 (Atual)","DevOps;P0 - Crítico","2024-09-25","cd-staging.yml|cd-production.yml|Deploy staging funciona|Deploy prod via tags|Smoke tests passam"
"ENV-20: Secrets: 1Password CLI / Vault integration","Integração 1Password CLI para CI/CD + HashiCorp Vault para produção. Secrets nunca em .env ou código.","🎯 Sprint 0 (Atual)","DevOps;P0 - Crítico;Security","2024-09-25","1Password CLI no CI|Vault em produção|Secrets injetados no runtime|Zero secrets no repo"
"ENV-21: LGPD: Consent model, data export, deletion job, retention policy","ConsentLog model + categories (essential/analytics/marketing/ai). DataExportService (JSON+PDF). DataDeletionService (anonimiza audit, deleta pessoal, queue 3rd party). Retention policies configuradas.","🎯 Sprint 0 (Atual)","Compliance Officer;P0 - Crítico;Compliance","2024-09-25","ConsentLog model|Categories definidas|DataExportService|DataDeletionService|Retention policies|Job agendado"
"ENV-22: Notification: Resend provider, template engine, preferences","Resend email provider. Blade templates com layout padrão. NotificationPreference model (canais + categorias + digest). BaseNotification respeita preferências.","🎯 Sprint 0 (Atual)","Notification Engineer;P1 - Alto","2024-09-25","Resend configurado|Templates Blade|NotificationPreference model|BaseNotification|Preferências respeitadas"
"ENV-23: API Integration: Webhook out framework, OAuth providers base","WebhookDispatcher + DeliverWebhook job (HMAC SHA256, retry exponencial, DLQ). OAuth: Google, Microsoft, GitHub, Apple via Socialite. BaseApiClient com circuit breaker.","🎯 Sprint 0 (Atual)","API Integration Engineer;P1 - Alto","2024-09-25","WebhookDispatcher|DeliverWebhook job|HMAC signature|Retry backoff|DLQ|OAuth providers|BaseApiClient|Circuit breaker"
